scenario,real_time_plot,lateral_angle_range,drag_speed,wiggle_time,servo_speed,extraction_height,wiggle frequency,insertion_angle,wiggle_amplitude
turtle,True,0.1,0.15,0.12,0.18,0.02,0.7853981633974483
time,turtle_state,leftadduction_pos,leftsweeping_pos,rightadduction_pos,rightsweeping_pos,leftadduction_curr,leftsweeping_curr,rightadduction_curr,rightsweeping_curr,insertiondepth,OptitrackPosition_x,OptitrackPosition_y,OptitrackPosition_z,OptitrackOrientation_x,OptitrackOrientation_y,OptitrackOrientation_z,OptitrackOrientation_w,LeftFlipperPosition_x,LeftFlipperPosition_y,LeftFlipperPosition_z,LeftFlipperOrientation_x,LeftFlipperOrientation_y,LeftFlipperOrientation_z,LeftFlipperOrientation_w,RightFlipperPosition_x,RightFlipperPosition_y,RightFlipperPosition_z,RightFlipperOrientation_x,RightFlipperOrientation_y,RightFlipperOrientation_z,RightFlipperOrientation_w
8.01319408416748,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455738306045532,0.1898203194141388,0.3341923654079437,0.019488908350467682,-0.006291109137237072,0.011738037690520287,0.9997214674949646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.015379190444946,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045580267906189,0.18983037769794464,0.3341466784477234,0.019289378076791763,-0.006422039587050676,0.0055723777040839195,0.9997778534889221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.018112182617188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045580267906189,0.18983037769794464,0.3341466784477234,0.019289378076791763,-0.006422039587050676,0.0055723777040839195,0.9997778534889221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.020233631134033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045580267906189,0.18983037769794464,0.3341466784477234,0.019289378076791763,-0.006422039587050676,0.0055723777040839195,0.9997778534889221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.022319793701172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045580267906189,0.18983037769794464,0.3341466784477234,0.019289378076791763,-0.006422039587050676,0.0055723777040839195,0.9997778534889221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.024775981903076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045580267906189,0.18983037769794464,0.3341466784477234,0.019289378076791763,-0.006422039587050676,0.0055723777040839195,0.9997778534889221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.027920246124268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045581340789795,0.18983012437820435,0.3341164290904999,0.019342361018061638,-0.006409045774489641,0.005325269419699907,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.029207468032837,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045581340789795,0.18983012437820435,0.3341164290904999,0.019342361018061638,-0.006409045774489641,0.005325269419699907,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.030433416366577,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045581340789795,0.18983012437820435,0.3341164290904999,0.019342361018061638,-0.006409045774489641,0.005325269419699907,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.031580686569214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.032878637313843,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.033973455429077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.035475015640259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.036646842956543,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.037879943847656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.039044380187988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.1898462176322937,0.3341277539730072,0.019344989210367203,-0.006410776637494564,0.005802107509225607,0.9997754693031311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.040538787841797,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455809831619263,0.1898491531610489,0.3341478407382965,0.019251741468906403,-0.00637512281537056,0.005690007004886866,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.041646003723145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455809831619263,0.1898491531610489,0.3341478407382965,0.019251741468906403,-0.00637512281537056,0.005690007004886866,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.042836427688599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455809831619263,0.1898491531610489,0.3341478407382965,0.019251741468906403,-0.00637512281537056,0.005690007004886866,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.044001340866089,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455809831619263,0.1898491531610489,0.3341478407382965,0.019251741468906403,-0.00637512281537056,0.005690007004886866,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.045307636260986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455809831619263,0.1898491531610489,0.3341478407382965,0.019251741468906403,-0.00637512281537056,0.005690007004886866,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.046369314193726,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455809831619263,0.1898491531610489,0.3341478407382965,0.019251741468906403,-0.00637512281537056,0.005690007004886866,0.9997782111167908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.04745101928711,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595645904541,0.18984277546405792,0.3341217339038849,0.019481118768453598,-0.006333350669592619,0.010886426083743572,0.9997309446334839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.04852294921875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595645904541,0.18984277546405792,0.3341217339038849,0.019481118768453598,-0.006333350669592619,0.010886426083743572,0.9997309446334839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.050063848495483,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595645904541,0.18984277546405792,0.3341217339038849,0.019481118768453598,-0.006333350669592619,0.010886426083743572,0.9997309446334839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.051208972930908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595645904541,0.18984277546405792,0.3341217339038849,0.019481118768453598,-0.006333350669592619,0.010886426083743572,0.9997309446334839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.052609920501709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595645904541,0.18984277546405792,0.3341217339038849,0.019481118768453598,-0.006333350669592619,0.010886426083743572,0.9997309446334839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.056593656539917,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595645904541,0.18984277546405792,0.3341217339038849,0.019481118768453598,-0.006333350669592619,0.010886426083743572,0.9997309446334839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.057689666748047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455753803253174,0.18983085453510284,0.33416011929512024,0.019463766366243362,-0.006346459966152906,0.010696643963456154,0.9997332692146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.05902647972107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455753803253174,0.18983085453510284,0.33416011929512024,0.019463766366243362,-0.006346459966152906,0.010696643963456154,0.9997332692146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.06043028831482,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455753803253174,0.18983085453510284,0.33416011929512024,0.019463766366243362,-0.006346459966152906,0.010696643963456154,0.9997332692146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.061497211456299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455753803253174,0.18983085453510284,0.33416011929512024,0.019463766366243362,-0.006346459966152906,0.010696643963456154,0.9997332692146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.063599824905396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455753803253174,0.18983085453510284,0.33416011929512024,0.019463766366243362,-0.006346459966152906,0.010696643963456154,0.9997332692146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.065197229385376,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455753803253174,0.18983085453510284,0.33416011929512024,0.019463766366243362,-0.006346459966152906,0.010696643963456154,0.9997332692146301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.066413164138794,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455796718597412,0.18982554972171783,0.33415424823760986,0.019373873248696327,-0.006368395406752825,0.007680854294449091,0.9997625946998596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.069211721420288,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455796718597412,0.18982554972171783,0.33415424823760986,0.019373873248696327,-0.006368395406752825,0.007680854294449091,0.9997625946998596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.07031536102295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455796718597412,0.18982554972171783,0.33415424823760986,0.019373873248696327,-0.006368395406752825,0.007680854294449091,0.9997625946998596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.07145619392395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455796718597412,0.18982554972171783,0.33415424823760986,0.019373873248696327,-0.006368395406752825,0.007680854294449091,0.9997625946998596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0725576877594,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.073625087738037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.074711084365845,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.075800895690918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.076892852783203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.078434944152832,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.08298921585083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455780029296875,0.18983899056911469,0.3341490924358368,0.019395766779780388,-0.0063738515600562096,0.007702496834099293,0.9997619986534119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.084352016448975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455784797668457,0.18983399868011475,0.3341428339481354,0.019395794719457626,-0.006383879110217094,0.006796224042773247,0.9997684359550476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.085700273513794,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455784797668457,0.18983399868011475,0.3341428339481354,0.019395794719457626,-0.006383879110217094,0.006796224042773247,0.9997684359550476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.086970806121826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455784797668457,0.18983399868011475,0.3341428339481354,0.019395794719457626,-0.006383879110217094,0.006796224042773247,0.9997684359550476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.08861494064331,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455784797668457,0.18983399868011475,0.3341428339481354,0.019395794719457626,-0.006383879110217094,0.006796224042773247,0.9997684359550476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.089814901351929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04558265209198,0.18981708586215973,0.33414483070373535,0.0193189550191164,-0.006367774214595556,0.0057854438200592995,0.9997764229774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.091992616653442,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04558265209198,0.18981708586215973,0.33414483070373535,0.0193189550191164,-0.006367774214595556,0.0057854438200592995,0.9997764229774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.093338251113892,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04558265209198,0.18981708586215973,0.33414483070373535,0.0193189550191164,-0.006367774214595556,0.0057854438200592995,0.9997764229774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.09442400932312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04558265209198,0.18981708586215973,0.33414483070373535,0.0193189550191164,-0.006367774214595556,0.0057854438200592995,0.9997764229774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.095510482788086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04558265209198,0.18981708586215973,0.33414483070373535,0.0193189550191164,-0.006367774214595556,0.0057854438200592995,0.9997764229774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.098295450210571,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04558265209198,0.18981708586215973,0.33414483070373535,0.0193189550191164,-0.006367774214595556,0.0057854438200592995,0.9997764229774475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.100382566452026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455999374389648,0.18982654809951782,0.33413103222846985,0.019463537260890007,-0.006361163221299648,0.009772190824151039,0.9997426271438599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.102593421936035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455999374389648,0.18982654809951782,0.33413103222846985,0.019463537260890007,-0.006361163221299648,0.009772190824151039,0.9997426271438599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.103772163391113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455999374389648,0.18982654809951782,0.33413103222846985,0.019463537260890007,-0.006361163221299648,0.009772190824151039,0.9997426271438599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.105515718460083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455999374389648,0.18982654809951782,0.33413103222846985,0.019463537260890007,-0.006361163221299648,0.009772190824151039,0.9997426271438599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.106611967086792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455806255340576,0.1898244023323059,0.33417952060699463,0.01942806877195835,-0.006343660410493612,0.00970523152500391,0.9997441172599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.107730865478516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455806255340576,0.1898244023323059,0.33417952060699463,0.01942806877195835,-0.006343660410493612,0.00970523152500391,0.9997441172599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.109200239181519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455806255340576,0.1898244023323059,0.33417952060699463,0.01942806877195835,-0.006343660410493612,0.00970523152500391,0.9997441172599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.11074447631836,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455806255340576,0.1898244023323059,0.33417952060699463,0.01942806877195835,-0.006343660410493612,0.00970523152500391,0.9997441172599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.112344980239868,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455806255340576,0.1898244023323059,0.33417952060699463,0.01942806877195835,-0.006343660410493612,0.00970523152500391,0.9997441172599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.113490104675293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455806255340576,0.1898244023323059,0.33417952060699463,0.01942806877195835,-0.006343660410493612,0.00970523152500391,0.9997441172599792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.11598253250122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.117098808288574,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.118724346160889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.119869232177734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.121319770812988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.12240481376648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.12410020828247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045577049255371,0.18982158601284027,0.3341731131076813,0.01933257281780243,-0.006408248096704483,0.0062000565230846405,0.999773383140564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.125611066818237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595407485962,0.18982918560504913,0.33412012457847595,0.019543010741472244,-0.006322212051600218,0.01153287012130022,0.9997225999832153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.127040147781372,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595407485962,0.18982918560504913,0.33412012457847595,0.019543010741472244,-0.006322212051600218,0.01153287012130022,0.9997225999832153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.12874150276184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.045595407485962,0.18982918560504913,0.33412012457847595,0.019543010741472244,-0.006322212051600218,0.01153287012130022,0.9997225999832153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.130357503890991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455979108810425,0.189832404255867,0.33410367369651794,0.019632874056696892,-0.006269392557442188,0.015188196673989296,0.9996722936630249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.131832599639893,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455979108810425,0.189832404255867,0.33410367369651794,0.019632874056696892,-0.006269392557442188,0.015188196673989296,0.9996722936630249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.134790420532227,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455979108810425,0.189832404255867,0.33410367369651794,0.019632874056696892,-0.006269392557442188,0.015188196673989296,0.9996722936630249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.13623046875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455979108810425,0.189832404255867,0.33410367369651794,0.019632874056696892,-0.006269392557442188,0.015188196673989296,0.9996722936630249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.137482166290283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455979108810425,0.189832404255867,0.33410367369651794,0.019632874056696892,-0.006269392557442188,0.015188196673989296,0.9996722936630249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.138826370239258,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455801486968994,0.18984031677246094,0.3341498374938965,0.01951342076063156,-0.0062924642115831375,0.011555930599570274,0.9997230172157288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.140083074569702,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455801486968994,0.18984031677246094,0.3341498374938965,0.01951342076063156,-0.0062924642115831375,0.011555930599570274,0.9997230172157288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.141176700592041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455801486968994,0.18984031677246094,0.3341498374938965,0.01951342076063156,-0.0062924642115831375,0.011555930599570274,0.9997230172157288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.142325401306152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0455801486968994,0.18984031677246094,0.3341498374938965,0.01951342076063156,-0.0062924642115831375,0.011555930599570274,0.9997230172157288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
